Timestamp,Right_Knee_Angle,Left_Knee_Angle,Right_Hip_Angle,Left_Hip_Angle,Right_Ankle_Angle,Left_Ankle_Angle
100,175.663639,153.9721517,173.5759662,150.7607459,19.3182169,9.686982224
133.3333333,176.7607741,163.2799551,167.7687619,152.7803999,9.252396699,0.160935076
166.6666667,176.5657185,176.9494852,168.2566161,169.4848592,7.073754427,1.790302364
200,174.4169379,174.9045321,166.7815493,166.2076648,5.922584329,1.401273464
233.3333333,173.0273386,178.3201213,165.61994,169.3905382,7.083115382,0.549152727
266.6666667,176.3588508,177.6925695,170.196834,170.2798227,6.836286805,0.067346404
300,176.2605225,179.0704655,170.1076903,171.3469849,7.680984927,0.269270684
333.3333333,173.2680214,179.6765461,168.7430432,171.9429544,5.724425478,0.555841198
366.6666667,173.2313011,177.2255235,167.6100641,168.4411125,0.34068204,0.030040953
400,172.2096986,176.6870444,165.7199916,166.9199564,1.277741392,2.881691618
433.3333333,173.5687932,176.0802891,165.9771626,167.6083201,1.153951726,11.20969155
466.6666667,174.1591211,176.0978745,165.3387433,169.3616354,2.106089619,12.82336734
500,174.5168414,175.5629786,166.186274,167.8021421,2.571913637,13.73561292
533.3333333,174.98528,175.2584623,165.1180824,167.3551137,2.109952755,15.42526456
566.6666667,175.2693284,176.0070765,163.9803305,166.188205,1.545401867,17.07004937
600,175.4478701,176.9070983,164.7251843,166.3510711,1.438182847,19.44203072
633.3333333,176.0184075,178.0777224,164.7109992,168.2546921,2.620273349,19.77925213
666.6666667,176.0140858,178.7813696,164.8646644,168.1745317,0.588291516,19.67380406
700,176.3386339,179.6954264,164.2146324,168.572032,2.467257393,18.93390584
733.3333333,177.5715464,179.781589,165.0448739,168.8561033,3.194795652,18.50883896
766.6666667,177.470533,179.8086309,164.8782619,169.0581358,3.980640575,17.99915748
800,177.3014278,179.0465176,164.4372301,168.8076012,2.646378092,17.56318122
833.3333333,177.299647,178.9836603,164.5120823,168.6358545,1.344617695,17.32247648
866.6666667,177.2985679,178.8502697,164.2929427,168.5126104,0.547652184,16.52456065
900,177.5497838,178.5296869,163.9421179,168.5925539,2.710024297,16.267927
933.3333333,178.512384,178.2864476,164.1526469,168.3743905,4.112320588,15.59048356
966.6666667,179.2433858,178.3293093,164.5380681,168.2200205,4.8552733,15.49955745
1000,179.7418116,178.2607095,164.7911306,168.3667156,4.627359834,15.57632111
1033.333333,174.5097524,178.1604436,158.0873021,168.3560706,5.535152431,15.65854278
1066.666667,172.3074991,178.0893434,155.0076868,168.2959645,5.577537615,15.6394612
1100,170.5082106,178.0223549,152.568756,168.254637,5.257016808,15.7765616
1133.333333,170.3846402,177.7622992,152.0274217,168.2599784,5.560016425,15.9557172
1166.666667,170.2821755,177.5968259,151.9664263,168.3348958,6.069664988,16.09812049
1200,170.2788436,177.4832915,151.8637092,168.4184736,5.899038075,16.53457218
1233.333333,169.6564156,177.3831328,151.0749804,168.5307956,5.950463302,16.46817169
1266.666667,169.9754501,177.3776148,151.5541758,168.5375802,6.024712416,16.47521116
1300,170.170356,177.4236417,151.949125,168.7582565,6.05001985,16.45564093
1333.333333,170.4709659,177.5665971,152.3383666,168.5723786,6.099018562,16.43092601
1366.666667,175.7978889,177.6179893,159.646388,168.4417522,6.453697807,16.44718821
1400,173.6107429,177.702623,156.7027778,168.2779208,6.535370431,16.41406942
1433.333333,173.0115024,177.8008413,155.8604773,168.058226,6.628275343,15.33837002
1466.666667,171.4349518,177.6706891,153.4746675,167.9492691,6.320197611,15.49667409
1500,170.9734532,177.5825676,152.7008237,167.8933807,6.101441684,15.3963308
1533.333333,171.0689218,177.4313791,152.5712467,167.9013375,6.105482116,15.2541744
1566.666667,171.1718532,177.4082082,152.463266,167.9416624,6.088264213,15.23657447
1600,171.0171381,177.3166169,151.9743496,167.8292687,5.418050055,15.203935
1633.333333,171.0474841,177.3172125,151.8313214,167.7564696,5.157523166,15.23439516
1666.666667,170.9691494,177.2687125,151.5747301,167.6782286,5.181653049,15.29050511
1700,170.6183205,177.1481886,151.1803954,171.04748,5.097719811,15.32955927
1733.333333,170.1219716,177.1176136,150.5993661,169.6629809,4.9554996,15.32732885
1766.666667,170.0374679,177.1694641,150.5735703,169.5321455,4.956638594,15.33074587
1800,170.0247186,177.3165476,150.5483505,169.2451888,4.876711925,15.01923724
1833.333333,176.9194036,177.4453782,159.9184067,168.9981662,4.816550292,14.43911709
1866.666667,175.915222,177.5740869,158.455312,168.8418056,4.802073203,14.42208096
1900,178.4906752,177.6559048,162.0025356,168.4718309,4.881527271,14.44433977
1933.333333,179.3986246,177.6657764,163.5019669,168.2861022,5.120226595,14.39692117
1966.666667,176.5626898,177.5444866,159.5066052,168.3688933,5.107228617,13.97854224
2000,178.5567557,177.3518264,162.2399776,168.5179896,5.156036045,13.9465209
2033.333333,174.9813486,177.1272491,157.2353258,168.4594991,5.350056017,13.67199442
2066.666667,172.4697046,177.1168278,154.0163556,168.3800209,5.293954334,13.48375879
2100,171.2956052,177.0614464,152.6623054,168.4049984,5.199733511,13.54923125
2133.333333,170.888294,177.0159833,152.152824,168.3989455,5.290132004,14.2930207
2166.666667,170.3276514,176.6457688,151.557673,168.6548212,5.547933985,14.33821526
2200,169.9420692,176.3303096,151.0756219,168.828785,5.665538242,14.50761769
2233.333333,169.6172161,176.285832,151.0356991,169.0386313,5.673787249,14.66951948
2266.666667,175.4606496,176.1903549,159.1594609,172.4526366,5.821254149,14.90233125
2300,172.4742423,175.9894002,155.4644215,171.2865588,5.867089808,14.85307364
2333.333333,171.520383,175.8129708,154.0500073,171.1314809,6.230109883,14.75267234
2366.666667,170.7341435,175.4832579,152.683549,170.517469,7.171289009,14.54547356
2400,176.1124891,175.1706754,159.6507845,170.1898606,7.709562902,14.16476433
2433.333333,178.3575253,174.9063762,162.4339901,170.0752579,7.532716892,13.95726491
2466.666667,179.4143928,174.37676,163.7744898,170.0047748,7.465440429,13.0526015
2500,179.4426448,173.9655081,164.4986002,170.6055679,7.335210783,12.82980491
2533.333333,179.7286299,173.7999018,165.7808486,170.5930195,7.591943587,10.39494361
2566.666667,179.5300449,172.0360973,165.7200936,170.23055,7.891189013,6.578849254
2600,178.9584434,170.5535501,165.3911016,170.824698,8.053307355,4.724385587
2633.333333,166.9641364,167.1187157,179.8680422,179.0414629,19.56506128,1.608151994
2666.666667,1.062846409,9.575408133,7.388318046,6.63962881,25.06065332,7.568351906
2700,10.42154008,6.357318413,15.16359663,9.054200218,25.74254033,5.071902936
2733.333333,19.98053866,4.396344598,20.21459872,14.32800624,17.05050624,0.726550144
2766.666667,88.27372092,10.83828331,22.11274257,15.48168226,81.84759826,12.09340019
2800,27.46726758,11.46601476,22.21284163,10.38113757,23.5392487,14.94822407
2833.333333,23.8939253,17.05016675,18.60363878,13.82351872,21.40011899,16.77793495
2866.666667,30.67774205,25.29425451,17.63640678,15.36995457,27.13769847,24.9659361
2933.333333,112.9485954,123.4534395,95.32195041,21.27350699,7.45821185,16.87467685
2966.666667,26.53461322,5.422657752,175.3831085,141.8085017,3.771877167,23.27575856
3000,22.39088444,8.260302335,179.1858411,156.1396833,3.081306712,15.36420442
3033.333333,22.09329467,8.189237892,179.5892858,156.5874141,4.146728479,14.25324221
3066.666667,26.37954749,20.11048765,172.8952969,156.3688448,13.96972517,29.79140646
3100,38.7399888,57.11112128,173.6623085,153.8218677,28.30100141,69.53620661
3133.333333,57.07878742,23.01711015,176.7770778,147.7662719,39.65862231,38.92149691
